scale,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9
0.5,-0.22944781172549233,-0.21848638048722507,-0.06115490006360978,0.2623539304687167,0.10494267703461965,0.19496482559977887,-0.29817800400949324,-0.15606734098120134,0.3142691393263694,0.04244549398476103
0.52,-0.22099133054656525,-0.19896628417672524,-0.04224774208263943,0.31136431819130034,-0.048978966786644,0.06740869460702624,-0.25987413718742924,-0.038743967177023955,0.15504058166250106,0.06702969144317909
0.54,-0.21236641940413709,-0.18169831838995162,-0.023027125159581274,0.26503198922249727,0.0957162726165037,0.1662399389340755,-0.16567675272323168,0.060329465343268954,-0.24333783735659353,0.05447498463171077
0.56,-0.20344409294824745,-0.16796972531711302,0.015587002852450738,0.23748805437535606,-0.12808152999143615,0.10381050017798825,0.2724258429095009,-0.15732125229895205,-0.2760595370798063,-0.0696404253375957
0.58,-0.1947829724187712,-0.15152043357671746,0.026735640159644844,0.22591782176176867,-0.13621855134129196,0.08875608513141359,0.27831123726110085,-0.16135162054449212,-0.4461725274692257,-0.07198880993708695
0.6,-0.18584673059554066,-0.12982610995840926,0.027655047954531182,0.015469366924363681,0.20260572190584558,-0.19569034809372096,0.11565671811900013,0.308697146653601,0.13215801566316815,-0.05919040876739279
0.62,-0.17694006223535916,-0.1128755731053706,0.048979248204130826,-0.10035019300921719,0.23218074367633423,0.07825449600929313,0.33330767970287073,0.25893316662502486,0.13569910783938388,-0.034297015712561725
0.64,-0.1678943560339939,-0.09972001732623229,0.05080385115000126,-0.18749676265414617,0.1972933530266837,0.04680209529925594,0.14544542882987266,-0.05112429725303133,0.2065751300467673,-0.0661332409537871
0.66,-0.1589562880541512,-0.09034602052735186,0.05517156337065541,-0.16413283155379646,0.3555003445316317,-0.2714385633979511,0.09038179025985031,-0.16765291110352515,-0.0793243898921201,-0.12587418330039002
0.68,-0.15026586699483568,-0.06652547765529762,0.044556842022960674,-0.11702069313145512,0.13750792343267187,-0.24368939976897122,-0.17879770341236365,0.07131387148026024,0.01479076179065529,0.006157119451008089
0.7,-0.1411776207955996,-0.04910763160072026,0.07185905998818014,-0.21156254865480248,-0.07055951276500505,0.07624843215327352,0.2038570391449182,-0.05184862351440549,0.1964644718823137,-0.016966599212456558
0.72,-0.13215453417304954,-0.03410609495170469,0.06667065567295731,-0.13735245548781547,-0.13411877206847098,-0.19616303999022716,0.0322985307981637,-0.010099282509328233,0.08175038606357214,0.00604750319483391
0.74,-0.12317119341634727,-0.02066073515214126,0.05420924686718455,-0.13962462818053645,0.1278767672573207,-0.272593020517125,-0.19485147519189555,0.009784755585745134,-0.21474213811600185,0.008006943984824924
0.76,-0.11414569945840829,0.0016878816049504689,0.053820107275507074,-0.223677601749636,0.1006783293918083,0.16643420893495156,-0.18903007081185302,0.12707632109581857,-0.14519817052940348,0.0879118387421124
0.78,-0.10492707555403999,0.0199151566807474,0.06407606449110896,-0.21486720453008804,-0.1333237214580996,0.18397009931572406,-0.023556999501189568,0.07862255387840945,0.007629668734691172,0.07383930740201407
0.8,-0.09577635653105257,0.036414196976494194,0.0621078229748969,-0.25664551569804134,0.015444115898350359,0.30095919529646287,-0.030380488311630042,0.04271107250274832,-0.10706952478626887,0.06944261792779222
0.82,-0.08666419526310253,0.056503488244904934,0.06381093406785432,-0.15975261109126365,-0.27588904285557264,0.057836690343146535,-0.025894735525051137,0.04211023803989651,0.012518244154122456,0.06199516547738729
0.84,-0.07740487183333142,0.07576027978097834,0.05979886706474053,-0.24002898812757098,0.024744485064338302,0.2965901220162653,-0.03250298514340337,-0.02434093290573168,-0.15531995575598695,0.04267415007654609
0.86,-0.06824058996320628,0.0989407946679313,0.05136898845014067,-0.14471532674298018,-0.026051274271239846,0.03699901938645656,-0.19857931782375315,-0.004657751717129642,-0.1930478849902714,0.04678258159910175
0.88,-0.058960315122363244,0.12743323425507003,0.05408626072917023,-0.07910051310972609,-0.15782666517725064,-0.08392075189468753,-0.19614645167531916,-0.04746962513689238,-0.08273717012894731,0.0145167731504695
0.9,-0.04976547049647369,0.16202236770589498,0.06069245235311828,-0.05143550485581657,-0.13852593276975947,-0.0811459460334915,-0.19626026468053345,-0.11609338981642234,-0.05838395664324611,-0.017908091091783613
0.92,-0.04058134560311124,0.2103371245009283,0.09187902347300811,-0.006175595247581661,-0.17030133602716924,0.053065872061610286,0.11495075420449202,-0.022537202499882995,0.024688165967582706,-0.022110298249570642
0.94,-0.03154162671111147,0.27202076574535666,0.11684407927686849,0.03336687791726385,0.10169338699676099,0.03165149121560244,-0.0651281409710602,-0.10415901459829821,-0.10993489817901989,-0.07632579782599577
0.96,-0.02301184735855805,0.37043618321138577,0.19769071917444928,0.14920513699636953,0.1798048746287826,0.039317066058639535,-0.01829342333830069,-0.019567963014537372,-0.07725472218463708,-0.10437819830590087
0.98,-0.013270589579080488,0.3675644002681591,0.14707238553261068,0.21851856834025937,0.04322346708884001,-0.07553045884416794,0.06502498086863263,-0.017653715081394426,0.04136813043020111,-0.09039063439405799
1.0,-0.0028311892475799544,0.28704351950200163,0.011507314739512728,0.1655977609035086,0.15950702394965233,0.06987781879827516,0.16246285650769268,0.08985752497617916,0.00042585427912996787,0.03475766955487283
1.02,0.007643876081360755,0.2247887747100037,-0.08150694944463008,0.1527316915255349,-0.03631386333126021,-0.036947987877994505,0.09121121873542144,-0.0010012744133436474,0.2046644680223142,0.08837738039411601
1.04,0.01787431160862439,0.17454142031853795,-0.14475273452367465,0.05031569142678087,0.23107885537606873,0.22064930770142543,0.11738687754117808,0.05691313251486316,0.005713949731117177,0.13085453667594832
1.06,0.02806449483417933,0.1338657846064981,-0.19834592722975875,0.13052338707134775,0.17698091777872033,-0.07381910154474944,-0.08936528613001804,0.21225915332229228,-0.098884613363829,0.17486395391446857
1.08,0.03859555990657397,0.0985358607308424,-0.22054754477751823,0.006816838463874291,0.010701249099564675,0.11840752096357614,-0.04763727421099366,-0.08672149974258354,0.17937509149505532,0.10518225679201261
1.1,0.048978422841726016,0.06318921845142032,-0.24062155630238088,0.03338021772947901,0.1555431778957815,-0.17238353650943064,-0.10974819682931732,-0.13187183982471784,-0.04098214607629209,0.027011244844487137
1.12,0.059333035372277756,0.03839771901947432,-0.23817430176741325,-0.06916763222919056,0.1726905178091893,0.13919301696454425,0.10075719383224027,-0.16087931148285647,-0.0014883135699699929,-0.010356468209060386
1.14,0.0696481791489306,0.01721473342906973,-0.23968698878276126,-0.032777794901989135,0.013699410236424672,0.027133929160416823,0.0844237042951783,-0.10810770057518437,0.051787661222362044,-0.05044143831794752
1.16,0.07997360701519729,-0.00259004041025937,-0.23481452679209955,-0.041034512339515744,0.0010136672899334256,0.031063290121380666,0.06025566225373251,-0.06677622365576652,-0.005672195541239164,-0.0990699400732834
1.18,0.09031598211091663,-0.019737387117709056,-0.2274294442271482,-0.09454155874221606,0.13667320450009043,0.15393911366284826,0.021115453546547938,-0.04456675054228866,-0.09697107611248196,-0.11229404194297259
1.2,0.10073858966970664,-0.03374493573859271,-0.21327208849810664,-0.05252304927865238,-0.01743884628111866,0.03788537711014307,-0.005040497275131166,-0.0009056093798249258,-0.035127109959825834,-0.16381094951060776
1.22,0.11129618820556349,-0.04920755077071049,-0.20056683851264862,-0.15061217398683763,0.10091304255067642,0.1539535343752577,-0.17673467386559838,-0.1973428933819733,-0.01254226498529322,-0.22381194179222577
1.24,0.1215900335213882,-0.05816828361339181,-0.17327670373639933,-0.05780689366224942,-0.029790582106081542,0.04032429260544326,-0.07760854534141681,0.05484416838873877,-0.06545926355470297,-0.24105658422292922
1.26,0.131910253122722,-0.06510774259306178,-0.14290528243408895,0.033357324570153064,-0.15748682590546728,-0.07202743115224586,0.017355227140403412,0.3153172220560673,-0.10581115091464988,-0.25427062699782343
1.28,0.14245900448985194,-0.07333714469706709,-0.11419130257461862,0.033974968253434726,-0.15821185342817362,-0.0762025284244695,-0.021211635421337888,0.350297797886019,-0.09518831488611304,-0.28520548105268917
1.3,0.15318019609432953,-0.0843821339743567,-0.06432969508739192,0.012353838969947415,0.009183812856030954,0.04249235185384877,-0.03245511086497532,0.26246396892570195,-0.11605508538382492,0.5006531956729285
1.32,0.16394245865924764,-0.09450419535591885,-0.02102246609997084,0.00825087098910809,0.05832849349817607,-0.06567388356414303,0.09177360729824155,0.11690206615435578,-0.13117616381467245,0.37630235373052223
1.34,0.17488834596631153,-0.10583783363889197,0.025283160112776655,-0.04701949862566929,0.08417289883813153,-0.1911148470311253,0.1287976651656991,-0.26518430285054484,-0.1410913892658559,0.19358931198707402
1.36,0.1854512200445359,-0.10925336815636214,0.06146522380775617,-0.029082996951333092,0.09144672308473796,-0.18117793788511338,0.07322938347873828,-0.26896857209589775,-0.10019839105206077,0.13282122012565367
1.38,0.19614860906865467,-0.104837791782875,0.10137906441019388,0.002541024291683586,-0.18246479295644316,-0.042386037512362924,0.02646686711386626,-0.13270348614924168,0.1622366351618809,0.1302112686547941
1.4,0.2069122502766624,-0.10690432153376109,0.1419882250260177,-0.02605501393332006,-0.02739147880361039,0.0831986051155271,-0.019210988435670318,-0.1574477864758312,0.1006465511132502,0.05570766578364117
1.42,0.21757175477709814,-0.10622342767678317,0.18945667219335227,-0.0071087836716458765,0.1522107428757798,0.21234018566555962,0.06580650163162037,0.0369935258339735,-0.06194124054233387,0.01863968858056044
1.44,0.22839908397253256,-0.1048520913459663,0.2364020594961207,0.05626946433466981,0.01775553933733502,0.09798792387622741,0.024417379444711233,0.0448443877416632,0.0562612146701383,-0.05814464969227338
1.46,0.23930261881010487,-0.10338966247240235,0.28401716834974955,0.0771992225603339,0.031173483195172637,0.09974097798327215,-0.0173664201287662,0.03787163491643944,0.09880563987207837,-0.126117756766743
1.48,0.25018110386532566,-0.10268631463376478,0.3215208413466981,0.0946795492657677,0.27867491857508486,0.08892576821504572,-0.22981131794641718,0.05045923486919256,-0.0633995960299865,-0.20476451468626666
