scale,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9
0.5,-0.2139612564406398,-0.28924307089624113,-0.346548305478539,0.17234097009715885,0.3141070579259557,0.2870194619435772,-0.011387848799072038,0.5234657455341469,0.46823993892338983,-0.16217075447321255
0.52,-0.2071617872251622,-0.2588207011966841,-0.2660916871237702,0.1120752125813398,0.18331397691431037,0.14582471377175815,0.04372998249325205,-0.1459361568749292,-0.5348753950400418,0.13572078180605973
0.54,-0.20025561935087272,-0.22922085823609473,-0.19375554505076442,0.060808169186227834,0.07618939931746634,0.016840679704041857,0.08017952184865249,-0.08413050713320024,-0.4944155153324992,-0.25184924158851396
0.56,-0.19323936325384633,-0.20052913300111178,-0.12957654007511044,0.01867497832684384,-0.0023672855000050064,-0.10950581806777251,0.0877944235645659,-0.32397984068449753,0.2619327963885251,0.5420397652805544
0.58,-0.18611236054492958,-0.17267127668187512,-0.07220765804412567,-0.01653160072290219,-0.06712084209609992,-0.2267341161029485,0.08347554484551979,-0.1933835582580877,0.19150180135999267,0.20816141770330718
0.6,-0.17887356436923954,-0.14572930005100118,-0.021867500767493,-0.04449974328779817,-0.11401643633269548,-0.33983287813130025,0.05997648700008175,-0.055127391669447134,0.1208453168069714,-0.03536170096544687
0.62,-0.17152211099454207,-0.11973007197811726,0.021761514237671833,-0.0657786195339484,-0.14547082308681772,-0.44975447275420044,0.018386926267225545,0.08917807665872102,0.04769966391322056,-0.207903520261177
0.64,-0.16404392917448277,-0.09476097427764643,0.0594953442531736,-0.08255309292485073,-0.16812367327936925,0.03619301078715341,-0.3266049835604157,-0.058937073978159726,0.03478771045756149,-0.03285890988202895
0.66,-0.15646273252904477,-0.0707361542842079,0.0907192885548556,-0.09229185135610457,-0.17596925995974524,0.010325194396825794,-0.4404065416882729,0.05418054032194977,-0.04220555438888314,-0.07750782930428468
0.68,-0.1487657818989502,-0.04774149886591298,0.11623317949470316,-0.09702481182113883,-0.1747439535684017,-0.007562857707113612,-0.5737969364319275,0.1477789027633902,-0.07502461507125249,0.0016367435358915113
0.7,-0.14094134841910416,-0.02585552638504103,0.1366147119805272,-0.09631197978419756,-0.13243259935166835,0.09496411060993847,0.29001895188383664,-0.1032369181491026,0.06176252135642306,-0.29995789069172313
0.72,-0.13300914834475597,-0.005000480480677807,0.15159871445085407,-0.09233616143894408,-0.11407296616070817,0.1071068308831596,0.25000175581255807,-0.06582656394039388,0.05197877957837027,-0.22406306806608514
0.74,-0.12495844310564956,0.01474627602547092,0.16179878097867278,-0.08485187573226148,-0.09148998341029681,0.12781292732495442,0.20428627113014092,-0.03721425125946497,0.03946296288675433,-0.1458897743384616
0.76,-0.11678826548595125,0.03335727162671042,0.1675329397805494,-0.07436104360078541,-0.06610207442971076,0.15681799420551262,0.15379157776845115,-0.017433746183705606,0.0225361446144057,-0.07533178281190969
0.78,-0.1084974880850453,0.050802358411732015,0.1691665704795822,-0.061429263246088245,-0.03937489216070832,0.19368391647102412,0.09951644770296829,-0.009468898447662105,0.013077573371558793,0.013360281037978886
0.8,-0.10008516279933287,0.06705435121882554,0.1669983730497654,-0.04651553212759,-0.012337204642069513,0.2382322741427051,0.04209047319210131,-0.014186069216749551,0.009717911575858537,0.10629937383404
0.82,-0.09155029030112072,0.08208577485387036,0.16134920786453888,-0.030106470098811018,0.013968473077407614,0.2902883068516445,-0.017775491373764028,-0.029185819808643418,0.006138986363988394,0.1881265572152418
0.84,-0.08289180683962319,0.0958677934477015,0.1525558676783471,-0.012704791720800773,0.0386075347224346,0.34960792737325136,-0.07944337390242372,-0.05476171733346298,0.004691012237915265,0.26170414498724826
0.86,-0.07412172424373563,0.10843275254765317,0.14044704440499908,0.006837864548682825,0.06508579216210642,-0.17079964296322434,0.1407183397694439,0.20676781492544827,-0.06715174684185404,0.021516842600238485
0.88,-0.0652140623732959,0.11962301245985896,0.12642296696987065,0.02479794461876337,0.08505351530351757,-0.16067178546395283,0.1061135449514853,0.15710670465829965,0.012178750525407067,0.1457574785706726
0.9,-0.05617994681384984,0.12950477184380607,0.11003777061995387,0.0425692427856706,0.10057519992352122,-0.14719243709981586,0.07551827379930035,0.17502461032509836,-0.07420251398381739,0.05921864999923557
0.92,-0.04701783650192808,0.1380075144606786,0.09196856950655015,0.05926368165522534,0.11260094544578828,-0.1332569374130872,0.046309482905570444,0.14856270210676759,-0.06735866305669161,0.0718338445940072
0.94,-0.03772677650484693,0.1451183602190859,0.07240758701337888,0.07458960440827823,0.12040344073381949,-0.11827805341435468,0.01999643176146759,0.12028246662394693,-0.06370143381125441,0.06808049266856898
0.96,-0.028305629332062678,0.15080796988066109,0.051696682754393465,0.08807782905463209,0.12385617491584322,-0.10262612895089912,-0.0031070952324226504,0.09201086194718966,-0.0642800400686919,0.04860125843946102
0.98,-0.018753251237175552,0.15504702489867597,0.03017627351295053,0.09926761532631322,0.12296707244712916,-0.08664504075404188,-0.022758843105819878,0.06569666410929902,-0.07066185885664461,0.013264347537125604
1.0,-0.009068478771333266,0.1578062333584836,0.008180141896089267,0.10771464886873525,0.11791542920971079,-0.07065117893265968,-0.038827595789343354,0.042481657921257306,-0.08324982886899294,-0.03727290497743237
1.02,0.0007498719716568114,0.15905199062769348,-0.013938370601871366,0.11295531454873121,0.10911429133391862,-0.05523574209804573,-0.05155171012949173,0.005724906934891905,-0.06260980155519916,-0.04849119598232738
1.04,0.010702996802832132,0.15875416006006765,-0.03585784055356793,0.11457157752374109,0.09700783649484322,-0.04073413675762126,-0.061018664430926135,-0.0512246582432932,0.00548903794668229,-0.0026020873875257783
1.06,0.020792132705041228,0.15688941788272642,-0.05723139713364089,0.11211851958831952,0.08186486783774602,-0.026930058544672758,-0.06665427656803363,-0.09027261019197719,0.040753284189115876,-0.002734358988633584
1.08,0.031018482343828528,0.15342598083582842,-0.07770644219012461,0.10515094670987908,0.06438555276972628,-0.014209721471398056,-0.06867585197226984,-0.11816516254569868,0.061356842868611025,-0.018176461000158253
1.1,0.04138328276352726,0.14833312735178683,-0.09693963990398059,0.09324220202131342,0.045385412284291146,-0.002845476234290103,-0.06731594785961323,-0.13731386522381958,0.07414399004690647,-0.03664648728972222
1.12,0.05188780814555466,0.14158013013233317,-0.1145808617602628,0.07596350400219162,0.025801316466604808,0.0069345045323404905,-0.06285858800042005,-0.1475730340024588,0.0799471724524434,-0.055671968374831696
